User;Time;esta/no esta?
70334081;4606287;no esta
67734766;3332262;no esta
24044547;3091196;no esta
87784079;3061329;no esta
14243680;3526822;no esta
84152827;3399249;no esta
36639489;3214503;no esta
21376372;3350182;no esta
91300293;3082236;no esta
70373671;3351462;no esta
21894086;3301542;no esta
14774674;3182503;no esta
37110881;3164583;esta
24313537;3026770;no esta
59767302;3348049;esta
71531691;2732796;esta
65493659;3178236;no esta
02941148;3308369;no esta
88325629;3240103;no esta
96724497;2971730;esta
96101907;3769595;no esta
44575587;3223889;no esta
42938533;3330982;no esta
84288896;2908583;esta
52791849;3323729;esta
96512247;3209383;no esta
08363023;3025063;esta
11050395;3244369;no esta
01211740;3045969;no esta
22491589;3100156;esta
76075826;3345062;esta
77537791;2851409;esta
41742992;3436796;no esta
64603176;3102289;no esta
32583096;3105702;no esta
02270110;3751675;no esta
90000100;3048956;esta
23007747;3421009;no esta
98892877;4432634;no esta
62887011;3410342;no esta
20041425;3099303;no esta
44433755;3831462;no esta
11406316;3002876;no esta
14484059;2882983;esta
73621328;3296423;esta
69277154;3569488;no esta
37482486;3307943;no esta
94998285;3284049;no esta
52923784;3013116;esta
61037558;3468795;no esta
38607794;3069436;esta
41534713;3116796;no esta
54896489;2919250;no esta
93691811;2973009;no esta
54554529;3830182;no esta
96046739;3180796;esta
09001355;3354023;no esta
27515182;3131303;no esta
57325337;2806183;esta
54409958;2862930;esta
80298633;3362129;no esta
62995603;3277223;no esta
68640475;3078823;no esta
75305054;3341223;no esta
37757110;3067303;no esta
88846731;3483302;no esta
75028843;3953062;no esta
04697460;3098876;esta
83380383;3088209;no esta
56047954;3544742;no esta
23593737;3389009;no esta
76125542;3284476;no esta
83668143;3237969;no esta
20770535;3458982;no esta
57435841;3111249;no esta
43770222;3569489;no esta
94037549;3071142;no esta
90596472;3119356;no esta
64676373;3237542;no esta
03592352;3263569;no esta
05806189;3373223;no esta
34028499;4240208;no esta
93602639;4323408;no esta
98657281;4025595;esta
35680151;3575462;esta
98792004;3296849;no esta
23018259;3320316;esta
83153666;3023356;esta
74657386;2920530;no esta
97625452;3203836;no esta
35287247;3348903;no esta
43194207;2815569;esta
71930533;3003729;no esta
75861310;3992742;no esta
36165721;3167996;no esta
81729551;3407782;esta
68339966;3351889;no esta
15768619;2867623;esta
32579182;2965756;no esta
12361969;3731196;esta
57413248;3405649;no esta
07091123;2908156;esta
83952782;3351889;no esta
74474376;3111676;no esta
58327634;2788689;esta
57834543;3898875;no esta
73705280;3153916;no esta
66092206;3230289;no esta
18354001;2924796;esta
89087971;3365969;no esta
01583095;3440636;no esta
09888139;3270823;no esta
22227927;3318609;no esta
41916168;3099729;no esta
93314537;2993916;esta
69613655;3550289;no esta
84438168;3079250;no esta
53349009;3887355;no esta
44133835;3234129;no esta
19168101;3199996;no esta
37731244;3563942;no esta
04713384;3293009;no esta
45568858;3135142;no esta
29283700;3218769;no esta
80949483;3251196;no esta
84069438;3129169;no esta
12665508;3363409;no esta
61913262;2853543;esta
42646082;3141969;no esta
85177074;3787942;no esta
85163868;3009703;esta
76839890;3071143;no esta
95153301;3237542;no esta
98338935;2872743;esta
08830539;3322876;no esta
54939790;2900049;esta
77253590;4023888;no esta
42829090;3045969;esta
69691079;3259302;no esta
84091581;3615996;no esta
76475723;2865916;esta
82857313;3671889;no esta
27546597;3583142;no esta
72649937;3071143;no esta
59412451;3117650;no esta
72851783;3281063;no esta
62767517;3198716;esta
72694285;3173542;no esta
69216903;2921809;esta
72802418;3227729;no esta
48806385;2986236;no esta
01854079;3676155;no esta
94683394;3374929;no esta
45364152;2821117;esta
95439271;3567783;no esta
20544001;2938023;no esta
76254597;3220902;no esta
89842929;3118076;no esta
50002714;3192743;no esta
11331888;3156050;no esta
29206389;3624102;no esta
61975723;3754235;no esta
79375899;2839036;esta
16712143;3457275;no esta
95021091;3371515;no esta
26252656;3294289;no esta
53417634;3726076;no esta
79985231;3320742;no esta
47709620;3320743;no esta
80604548;3219196;no esta
14227580;3078822;no esta
31947222;3426982;esta
98786336;3304956;no esta
54159244;3241810;no esta
03027585;2981543;esta
84768636;3177809;no esta
75336205;3388583;esta
64821739;2819410;esta
74657582;3502075;no esta
33307254;3086930;no esta
60831354;2894076;esta
43082066;2670930;esta
78351732;3188476;no esta
49615488;3420582;no esta
05667372;3614715;no esta
55809926;4161275;no esta
40760181;3924902;esta
70737650;3226876;no esta
71022623;3343356;esta
77703154;7583564;no esta
65146429;11610438;no esta
61425562;4339194;no esta
41252461;4593914;esta
15211598;3912955;no esta
14286824;3109116;no esta
38332365;3685542;no esta
32835388;3660368;no esta
18923017;3395835;no esta
08365925;3773861;no esta
91915585;3020369;no esta
93691197;2854396;esta
03405111;3456422;no esta
61317407;5162233;esta
58530750;5205327;no esta
30624242;5324366;esta
88134837;8374603;esta
32838874;4387407;no esta
86002516;3548156;no esta
35652659;4773541;no esta
69084123;3346769;no esta
23341747;3330555;no esta
13077885;3533649;esta
27803732;3081809;esta
13563316;3775568;no esta
38357891;3219196;no esta
01461552;3177809;no esta
20071740;3067303;no esta
71803538;3463249;esta
15025078;3599355;esta
50693205;2933756;esta
20342745;3125756;no esta
30058536;3134716;no esta
14427357;4937380;esta
07441629;4122875;no esta
96088575;4250875;esta
74823243;4549967;no esta
73740364;5529592;no esta
94969444;3875835;esta
72281684;3192742;no esta
92322907;4122448;no esta
63122744;5265060;no esta
60507051;4408315;no esta
93812407;4606288;no esta
64494432;4057168;esta
94207243;4384421;no esta
72182076;3956902;esta
54449367;3288316;no esta
35698899;3286609;no esta
29675506;3918075;no esta
01660735;3269969;no esta
26617425;3421436;esta
07003539;3284049;no esta
99108060;3157756;no esta
83606289;3766609;esta
33924150;3037863;no esta
60893461;3061756;no esta
93619043;3330129;no esta
25704081;3212796;no esta
11981056;3884795;no esta
47277208;3303676;no esta
23469125;2744317;esta
85610822;3160316;no esta
50490908;3748689;no esta
26550966;3421435;no esta
22677546;2941009;no esta
67546937;3221329;no esta
49780183;3054076;no esta
