User;Time;esta/no esta?
70334081;33762943;no esta
67734766;28936496;no esta
24044547;30054362;no esta
87784079;29400709;no esta
14243680;28537991;no esta
84152827;18364563;esta
36639489;25093088;no esta
21376372;26577886;no esta
91300293;27415431;no esta
70373671;25785994;no esta
21894086;27285298;no esta
14774674;27495645;no esta
37110881;24710368;esta
24313537;26620553;no esta
59767302;25075168;esta
71531691;25816714;esta
65493659;26019807;no esta
02941148;27059592;no esta
88325629;28941616;no esta
96724497;25913567;esta
96101907;26443487;no esta
44575587;25222367;no esta
42938533;25922954;no esta
84288896;23423116;esta
52791849;22937571;esta
96512247;24852022;no esta
08363023;24134370;esta
11050395;25314954;no esta
01211740;29080283;no esta
22491589;23693196;esta
76075826;23241357;esta
77537791;24197089;esta
41742992;25480928;no esta
64603176;27208499;no esta
32583096;26876979;no esta
02270110;26767326;no esta
90000100;23601036;esta
23007747;25966900;no esta
98892877;28584497;no esta
62887011;29385776;no esta
20041425;25323061;no esta
44433755;26721673;no esta
11406316;26436660;no esta
14484059;24087436;esta
73621328;23595064;esta
69277154;24997515;no esta
37482486;26456712;no esta
94998285;24903648;no esta
52923784;23853196;esta
61037558;26070153;no esta
38607794;24077622;esta
41534713;26141406;no esta
54896489;26461833;no esta
93691811;27592925;no esta
54554529;25299595;no esta
96046739;23706423;esta
09001355;26099167;no esta
27515182;27920604;no esta
57325337;25725407;esta
54409958;23454263;esta
80298633;24907915;no esta
62995603;27591218;no esta
68640475;26222900;no esta
75305054;25461727;no esta
37757110;25209141;no esta
88846731;27590791;no esta
75028843;25462580;no esta
04697460;23336504;esta
83380383;25264181;no esta
56047954;26453727;no esta
23593737;27448285;no esta
76125542;27103539;no esta
83668143;27496498;no esta
20770535;25997620;no esta
57435841;26193887;no esta
43770222;25171167;no esta
94037549;24971488;no esta
90596472;26799752;no esta
64676373;27106525;no esta
03592352;26514313;no esta
05806189;27008819;no esta
34028499;25894367;no esta
93602639;25384928;no esta
98657281;23534904;esta
35680151;23955169;esta
98792004;27294259;no esta
23018259;23072824;esta
83153666;23595063;esta
74657386;25099488;no esta
97625452;25253514;no esta
35287247;26709726;no esta
43194207;26235273;esta
71930533;24790155;no esta
75861310;26390580;no esta
36165721;27607858;no esta
81729551;25286367;esta
68339966;26017246;no esta
15768619;23944502;esta
32579182;28389084;no esta
12361969;24262369;esta
57413248;27380445;no esta
07091123;25551327;esta
83952782;25249248;no esta
74474376;28473563;no esta
58327634;25293194;esta
57834543;29091376;no esta
73705280;26745139;no esta
66092206;27151751;no esta
18354001;25359328;esta
89087971;27138952;no esta
01583095;24841781;no esta
09888139;25768074;no esta
22227927;25315381;no esta
41916168;25593994;no esta
93314537;23675276;esta
69613655;26657246;no esta
84438168;25113568;no esta
53349009;25070048;no esta
44133835;25098635;no esta
19168101;26207540;no esta
37731244;25601247;no esta
04713384;25387914;no esta
45568858;25192928;no esta
29283700;27034846;no esta
80949483;26046260;no esta
84069438;25275274;no esta
12665508;25423328;no esta
61913262;23378317;esta
42646082;25151542;no esta
85177074;26803592;no esta
85163868;23011810;esta
76839890;25359754;no esta
95153301;24773089;no esta
98338935;23221303;esta
08830539;25868340;no esta
54939790;25068341;esta
77253590;26158473;no esta
42829090;24115169;esta
69691079;25643914;no esta
84091581;11060040;esta
76475723;24671115;esta
82857313;25608074;no esta
27546597;28677937;no esta
72649937;26943965;no esta
59412451;25162635;no esta
72851783;25840607;no esta
62767517;23686370;esta
