User;Time
18096546;17067
82181276;1706
23339354;1280
40641831;1280
37961961;1280
66594468;4693
32940778;854
65015868;854
46119309;1280
32770791;1280
80317669;5120
58202732;1280
26464286;1280
30004615;854
84452253;854
08823186;1280
57058730;854
44083345;1280
42766148;853
31435569;2986
71406492;853
01882738;853
08476935;853
23408558;853
76008671;2560
43241466;853
77240146;853
97191815;854
37807850;854
30914524;853
03629610;853
56285369;853
00686084;854
55614604;2560
55713078;854
71837824;854
56405683;853
56371375;853
94254219;1707
74447197;854
20535079;853
26623227;854
38259748;853
46356497;427
62092738;853
92389173;854
06393210;854
05996468;2133
99840291;853
17745486;854
36090246;854
39360676;1280
17994808;2134
47514071;853
39768758;853
33159702;853
80123239;853
67710175;853
49111798;854
05696377;853
54350933;1280
46124263;2560
09539303;1280
51311946;1280
72070697;853
78497819;853
83837786;854
13351712;853
14512745;853
55620596;853
47951900;853
32755607;853
35706460;853
15293177;854
25723644;854
17559225;3414
95493804;854
59998786;854
91689005;427
04625369;853
04697460;853
84834765;853
05244072;854
17983277;854
80347014;2133
95900882;853
07008568;853
56067016;853
59767302;853
53872095;2134
53566051;854
40650402;853
41513298;853
14171424;854
85777138;2133
89153845;854
89241751;853
88050090;854
66524168;853
81760679;853
57433820;854
18710549;853
01891650;427
06308218;2134
13765442;853
46364508;854
61830232;854
22027096;427
24576298;2133
28652222;853
49967069;853
08028658;853
01823152;853
08786622;853
07140244;427
93380852;854
74568608;1280
91502096;2133
88268731;853
41880859;853
57433586;853
68708509;854
35318811;2560
37339298;853
79561907;1280
70063204;854
53925860;1280
56576070;2133
12849459;853
61865069;853
46346700;427
27960453;2133
62947629;427
63313810;426
19632276;426
53479503;853
72491990;2133
12661673;853
35786542;853
76070996;427
63996691;426
94964185;853
67568555;854
86072522;853
36548613;1280
49508150;5120
66165369;853
66586366;853
86422443;853
02689515;854
45175317;2133
53994873;854
29815004;426
20411045;7253
36670244;853
80626615;1280
77678168;853
49112674;1280
30307307;853
36284258;6400
41524258;1280
13779385;853
71968126;853
23489092;854
03503403;3840
99364907;1280
31814879;853
45579269;854
14696834;17493
34095554;853
03640459;854
58996142;853
33401149;853
77209277;3840
86294710;853
72081930;853
68403538;854
56182749;854
79814631;853
55712655;853
15785471;854
54695931;853
98523564;4267
83589118;853
85619640;853
19280931;426
14760065;853
24026363;3840
44202902;427
85727410;854
48574468;853
15607700;853
03400992;3840
47019334;853
99286081;853
88749675;853
68216912;853
21489694;854
34364145;853
59067889;853
81519942;854
22252188;4267
57576586;853
71531691;426
24658253;1280
11515444;853
68498661;3840
74628559;853
43235625;853
65368875;853
58333944;426
19018930;853
29798316;853
23160624;427
15370302;854
90562270;3840
69789022;853
36217711;853
61231683;853
51265949;427
61369143;3840
46575194;853
64687223;853
13862393;854
86905009;1280
42452584;853
23132370;427
15377787;854
49206143;853
34554600;3840
27046452;1280
83262152;427
84595813;853
65452590;427
21144467;4267
20115210;853
67717336;853
84042557;854
53696157;854
24821814;1280
24396372;854
58753091;853
26163849;853
68543244;2133
53660830;853
64368355;853
38616389;853
47405209;854
94049593;2560
83011304;854
34572298;1280
99473949;1280
39927186;2134
21974416;853
33789265;853
76031570;1280
92375936;1280
51174702;4267
42457824;853
06214965;853
79803050;427
69195131;853
88834580;853
50769867;426
88128462;853
68216800;853
55802145;2133
72139485;853
00355030;854
16650182;853
32055714;426
43975627;2134
78702537;853
36466708;853
90624416;853
24047231;854
51915013;853
67097056;854
30231247;427
89460343;427
25962728;2133
68872918;854
32927136;853
04722078;853
81455576;853
42792650;2134
22145100;853
06623557;853
30099999;853
38876244;853
40627933;853
64875567;853
22565710;854
87131898;854
51650960;6827
75156396;853
51673976;426
19749669;854
56534596;853
85587714;2133
81851182;854
94369162;853
52698230;426
03432069;854
89960063;853
17769529;853
26235426;1280
99001189;853
23457094;1707
42878323;853
09625694;853
85948553;427
94004119;427
46755917;2134
57401722;1280
60729671;853
05491379;427
31202186;854
26099954;853
87722315;427
63900218;427
69191737;853
17996107;2134
