User;Time;esta/no esta
70334081;42077831; no esta
67734766;46341934; no esta
24044547;56407846; no esta
87784079;59546402; no esta
14243680;56519205; no esta
84152827;92029361; no esta
36639489;41317085; no esta
21376372;47422253; no esta
91300293;47377027; no esta
70373671;45608494; no esta
21894086;43887323; no esta
14774674;53584594; no esta
37110881;470187; esta
24313537;51337343; no esta
59767302;1234772; esta
71531691;804266; esta
65493659;42633777; no esta
02941148;39671006; no esta
88325629;50012971; no esta
96724497;642559; esta
96101907;59192269; no esta
44575587;62283040; no esta
42938533;61599094; no esta
84288896;996266; esta
52791849;79787; esta
96512247;52245715; no esta
08363023;305493; esta
11050395;61864481; no esta
01211740;64961224; no esta
22491589;457386; esta
76075826;607146; esta
77537791;722346; esta
41742992;58663630; no esta
64603176;51328809; no esta
32583096;52641235; no esta
02270110;57346938; no esta
90000100;386986; esta
23007747;56060965; no esta
98892877;52846888; no esta
62887011;43505030; no esta
20041425;52229076; no esta
44433755;57077712; no esta
11406316;52369449; no esta
14484059;77653; esta
73621328;747946; esta
69277154;52048169; no esta
37482486;50923477; no esta
94998285;53507368; no esta
52923784;1087573; esta
61037558;54637607; no esta
38607794;408320; esta
41534713;54618407; no esta
54896489;54635047; no esta
93691811;54738727; no esta
54554529;54762620; no esta
96046739;536746; esta
09001355;54891473; no esta
27515182;53997181; no esta
57325337;647680; esta
54409958;439466; esta
80298633;53794088; no esta
62995603;54778833; no esta
68640475;54246353; no esta
75305054;53683155; no esta
37757110;48438572; no esta
88846731;42196871; no esta
75028843;50386304; no esta
04697460;1082879; esta
83380383;54500220; no esta
56047954;54275793; no esta
23593737;54199420; no esta
76125542;54275367; no esta
83668143;50701183; no esta
20770535;51017343; no esta
57435841;50656383; no esta
43770222;51068970; no esta
94037549;53053822; no esta
90596472;53996754; no esta
64676373;52502142; no esta
03592352;51330943; no esta
05806189;50831317; no esta
34028499;52052009; no esta
93602639;52397609; no esta
98657281;612266; esta
35680151;773119; esta
98792004;53910567; no esta
23018259;286293; esta
83153666;238507; esta
74657386;48822999; no esta
97625452;40962525; no esta
35287247;46748546; no esta
43194207;464640; esta
71930533;50266837; no esta
75861310;50793343; no esta
36165721;50583423; no esta
81729551;354560; esta
68339966;50828757; no esta
15768619;251733; esta
32579182;50949503; no esta
12361969;485973; esta
57413248;52465448; no esta
07091123;1016320; esta
83952782;54171260; no esta
74474376;54067581; no esta
58327634;961279; esta
57834543;54398673; no esta
73705280;50291157; no esta
66092206;50917503; no esta
18354001;828159; esta
89087971;50530090; no esta
01583095;50816384; no esta
09888139;50875263; no esta
22227927;50346197; no esta
41916168;49516331; no esta
93314537;942932; esta
69613655;50475904; no esta
84438168;44241882; no esta
53349009;45148975; no esta
44133835;48133932; no esta
19168101;50664490; no esta
37731244;50583424; no esta
04713384;50570196; no esta
45568858;50639743; no esta
29283700;49617451; no esta
80949483;50585557; no esta
84069438;50649557; no esta
12665508;50771584; no esta
61913262;851199; esta
42646082;50891904; no esta
85177074;50808704; no esta
85163868;103253; esta
76839890;50681984; no esta
95153301;50593237; no esta
98338935;183467; esta
08830539;50649557; no esta
54939790;201813; esta
77253590;50530517; no esta
42829090;477867; esta
69691079;50548010; no esta
84091581;50663637; no esta
76475723;946346; esta
82857313;50473344; no esta
27546597;43528496; no esta
72649937;43684230; no esta
59412451;46862467; no esta
72851783;47077933; no esta
62767517;605866; esta
72694285;46830893; no esta
69216903;734293; esta
72802418;48104918; no esta
48806385;48269186; no esta
01854079;48659585; no esta
94683394;49856811; no esta
45364152;234666; esta
95439271;49953664; no esta
20544001;51009663; no esta
76254597;48735106; no esta
89842929;49263318; no esta
50002714;48229079; no esta
11331888;47274626; no esta
29206389;48249132; no esta
61975723;51012223; no esta
79375899;858453; esta
16712143;52424062; no esta
95021091;51178623; no esta
26252656;51570302; no esta
53417634;46473774; no esta
79985231;45560708; no esta
47709620;46603054; no esta
80604548;47960706; no esta
14227580;50916223; no esta
31947222;237654; esta
98786336;51379156; no esta
54159244;51576703; no esta
03027585;466346; esta
84768636;51987156; no esta
75336205;149760; esta
64821739;395093; esta
74657582;50428970; no esta
33307254;51541716; no esta
60831354;87467; esta
43082066;573866; esta
78351732;52735529; no esta
49615488;54371794; no esta
05667372;56524325; no esta
55809926;46379480; no esta
40760181;1357652; esta
70737650;38137994; no esta
71022623;266667; esta
77703154;48911745; no esta
65146429;49278252; no esta
61425562;51887316; no esta
41252461;516266; esta
15211598;51580116; no esta
14286824;53020968; no esta
38332365;47036120; no esta
32835388;46079534; no esta
18923017;48545665; no esta
08365925;52335315; no esta
91915585;54841553; no esta
93691197;698453; esta
03405111;54659794; no esta
61317407;283733; esta
58530750;56534992; no esta
30624242;613119; esta
88134837;616533; esta
32838874;58747257; no esta
86002516;60604535; no esta
35652659;52565715; no esta
69084123;54921340; no esta
23341747;55322833; no esta
13077885;480427; esta
27803732;407466; esta
13563316;53205288; no esta
38357891;56966778; no esta
01461552;57890084; no esta
20071740;59255417; no esta
71803538;386986; esta
15025078;600319; esta
50693205;96426; esta
